CARGO;FICHA;PROCESO(S);SUBPROCESOS
GESTOR I;TP-DE-3008;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
ANALISTA V;TP-DE-2009;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
ANALISTA IV;TP-DE-2010;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
ANALISTA III;TP-DE-2011;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
ANALISTA II;TP-DE-2012;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
ANALISTA I;TP-DE-2013;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR IV;TP-DE-1014;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR III;TP-DE-1015;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR II;TP-DE-1016;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR I;TP-DE-1017;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR IV;AF-RA-1008;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR III;AF-RA-1009;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
FACILITADOR II;AF-RA-1011;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
INSPECTOR IV;TP-AD-3001;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR III;TP-AD-3002;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR II;TP-AD-3003;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR I;TP-AD-3004;Cercanía con el ciudadano;Asistencia al usuario
GESTOR IV;TP-AD-3005;Cercanía con el ciudadano;Asistencia al usuario
GESTOR III;TP-AD-3006;Cercanía con el ciudadano;Asistencia al usuario
GESTOR II;TP-AD-3007;Cercanía con el ciudadano;Asistencia al usuario
GESTOR I;TP-AD-3008;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA V;TP-AD-2009;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA IV;TP-AD-2010;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA III;TP-AD-2011;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA II;TP-AD-2012;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA I;TP-AD-2013;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR IV;TP-AD-1014;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR III;TP-AD-1015;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR II;TP-AD-1016;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR IV;TP-DE-3001;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR III;TP-DE-3002;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR II;TP-DE-3003;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR I;TP-DE-3004;Cercanía con el ciudadano;Asistencia al usuario
GESTOR IV;TP-DE-3005;Cercanía con el ciudadano;Asistencia al usuario
GESTOR III;TP-DE-3006;Cercanía con el ciudadano;Asistencia al usuario
GESTOR II;TP-DE-3007;Cercanía con el ciudadano;Asistencia al usuario
GESTOR I;TP-DE-3008;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA V;TP-DE-2009;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA IV;TP-DE-2010;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA III;TP-DE-2011;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA II;TP-DE-2012;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA I;TP-DE-2013;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR IV;TP-DE-1014;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR III;TP-DE-1015;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR II;TP-DE-1016;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR I;TP-DE-1017;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR IV;AF-RA-1008;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR III;AF-RA-1009;Cercanía con el ciudadano;Asistencia al usuario
FACILITADOR II;AF-RA-1011;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR IV;TP-AD-3001;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR III;TP-AD-3002;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR II;TP-AD-3003;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR I;TP-AD-3004;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR IV;TP-AD-3005;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR III;TP-AD-3006;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR II;TP-AD-3007;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR I;TP-AD-3008;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA V;TP-AD-2009;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA IV;TP-AD-2010;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA III;TP-AD-2011;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA II;TP-AD-2012;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA I;TP-AD-2013;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR IV;TP-AD-1014;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR III;TP-AD-1015;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR II;TP-AD-1016;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR IV;TP-DE-3001;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR III;TP-DE-3002;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR II;TP-DE-3003;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR I;TP-DE-3004;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR IV;TP-DE-3005;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR III;TP-DE-3006;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR II;TP-DE-3007;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR I;TP-DE-3008;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA V;TP-DE-2009;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA IV;TP-DE-2010;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA III;TP-DE-2011;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA II;TP-DE-2012;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA I;TP-DE-2013;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR IV;TP-DE-1014;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR III;TP-DE-1015;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR II;TP-DE-1016;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR I;TP-DE-1017;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR IV;AF-RA-1008;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR III;AF-RA-1009;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
FACILITADOR II;AF-RA-1011;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR IV;TP-AD-3001;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR III;TP-AD-3002;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR II;TP-AD-3003;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR I;TP-AD-3004;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR IV;TP-AD-3005;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR III;TP-AD-3006;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR II;TP-AD-3007;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR I;TP-AD-3008;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA V;TP-AD-2009;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA IV;TP-AD-2010;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA III;TP-AD-2011;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA II;TP-AD-2012;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA I;TP-AD-2013;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR IV;TP-AD-1014;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR III;TP-AD-1015;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR II;TP-AD-1016;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR IV;TP-DE-3001;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR III;TP-DE-3002;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR II;TP-DE-3003;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR I;TP-DE-3004;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR IV;TP-DE-3005;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR III;TP-DE-3006;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR II;TP-DE-3007;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR I;TP-DE-3008;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA V;TP-DE-2009;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA IV;TP-DE-2010;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA III;TP-DE-2011;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA II;TP-DE-2012;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA I;TP-DE-2013;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR IV;TP-DE-1014;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR III;TP-DE-1015;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR II;TP-DE-1016;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR I;TP-DE-1017;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR IV;AF-RA-1008;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR III;AF-RA-1009;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
FACILITADOR II;AF-RA-1011;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR IV;TP-AD-3001;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR III;TP-AD-3002;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR II;TP-AD-3003;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR I;TP-AD-3004;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR IV;TP-AD-3005;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR III;TP-AD-3006;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR II;TP-AD-3007;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR I;TP-AD-3008;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA V;TP-AD-2009;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA IV;TP-AD-2010;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA III;TP-AD-2011;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA II;TP-AD-2012;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA I;TP-AD-2013;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;TP-AD-1014;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;TP-AD-1015;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;TP-AD-1016;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR IV;TP-DE-3001;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR III;TP-DE-3002;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR II;TP-DE-3003;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR I;TP-DE-3004;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR IV;TP-DE-3005;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR III;TP-DE-3006;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR II;TP-DE-3007;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR I;TP-DE-3008;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA V;TP-DE-2009;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA IV;TP-DE-2010;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA III;TP-DE-2011;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA II;TP-DE-2012;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA I;TP-DE-2013;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;TP-DE-1014;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;TP-DE-1015;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;TP-DE-1016;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR I;TP-DE-1017;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;AF-RA-1008;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;AF-RA-1009;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;AF-RA-1011;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR IV;TP-AD-3001;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR III;TP-AD-3002;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR II;TP-AD-3003;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR I;TP-AD-3004;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR IV;TP-AD-3005;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR III;TP-AD-3006;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR II;TP-AD-3007;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR I;TP-AD-3008;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA V;TP-AD-2009;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA IV;TP-AD-2010;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA III;TP-AD-2011;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA II;TP-AD-2012;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA I;TP-AD-2013;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR IV;TP-AD-1014;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR III;TP-AD-1015;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR II;TP-AD-1016;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR IV;TP-DE-3001;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR III;TP-DE-3002;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR II;TP-DE-3003;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR I;TP-DE-3004;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR IV;TP-DE-3005;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR III;TP-DE-3006;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR II;TP-DE-3007;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR I;TP-DE-3008;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA V;TP-DE-2009;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA IV;TP-DE-2010;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA III;TP-DE-2011;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA II;TP-DE-2012;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
ANALISTA I;TP-DE-2013;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR IV;TP-DE-1014;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR III;TP-DE-1015;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR II;TP-DE-1016;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR I;TP-DE-1017;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR IV;AF-RA-1008;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR III;AF-RA-1009;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
FACILITADOR II;AF-RA-1011;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR IV;TP-AD-3001;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR III;TP-AD-3002;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR II;TP-AD-3003;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR I;TP-AD-3004;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR IV;TP-AD-3005;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR III;TP-AD-3006;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR II;TP-AD-3007;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR I;TP-AD-3008;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA V;TP-AD-2009;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA IV;TP-AD-2010;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA III;TP-AD-2011;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA II;TP-AD-2012;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA I;TP-AD-2013;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR IV;TP-AD-1014;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR III;TP-AD-1015;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR II;TP-AD-1016;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR IV;TP-DE-3001;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR III;TP-DE-3002;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR II;TP-DE-3003;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR I;TP-DE-3004;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR IV;TP-DE-3005;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR III;TP-DE-3006;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR II;TP-DE-3007;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR I;TP-DE-3008;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA V;TP-DE-2009;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA IV;TP-DE-2010;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA III;TP-DE-2011;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA II;TP-DE-2012;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
ANALISTA I;TP-DE-2013;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR IV;TP-DE-1014;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR III;TP-DE-1015;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR II;TP-DE-1016;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR I;TP-DE-1017;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR IV;AF-RA-1008;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR III;AF-RA-1009;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
FACILITADOR II;AF-RA-1011;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR IV;TP-AD-3001;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR III;TP-AD-3002;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR II;TP-AD-3003;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR I;TP-AD-3004;Planeación, Estrategia y Control;Comunicaciones
GESTOR IV;TP-AD-3005;Planeación, Estrategia y Control;Comunicaciones
GESTOR III;TP-AD-3006;Planeación, Estrategia y Control;Comunicaciones
GESTOR II;TP-AD-3007;Planeación, Estrategia y Control;Comunicaciones
GESTOR I;TP-AD-3008;Planeación, Estrategia y Control;Comunicaciones
ANALISTA V;TP-AD-2009;Planeación, Estrategia y Control;Comunicaciones
ANALISTA IV;TP-AD-2010;Planeación, Estrategia y Control;Comunicaciones
ANALISTA III;TP-AD-2011;Planeación, Estrategia y Control;Comunicaciones
ANALISTA II;TP-AD-2012;Planeación, Estrategia y Control;Comunicaciones
ANALISTA I;TP-AD-2013;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR IV;TP-AD-1014;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR III;TP-AD-1015;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR II;TP-AD-1016;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR IV;TP-DE-3001;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR III;TP-DE-3002;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR II;TP-DE-3003;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR I;TP-DE-3004;Planeación, Estrategia y Control;Comunicaciones
GESTOR IV;TP-DE-3005;Planeación, Estrategia y Control;Comunicaciones
GESTOR III;TP-DE-3006;Planeación, Estrategia y Control;Comunicaciones
GESTOR II;TP-DE-3007;Planeación, Estrategia y Control;Comunicaciones
GESTOR I;TP-DE-3008;Planeación, Estrategia y Control;Comunicaciones
ANALISTA V;TP-DE-2009;Planeación, Estrategia y Control;Comunicaciones
ANALISTA IV;TP-DE-2010;Planeación, Estrategia y Control;Comunicaciones
ANALISTA III;TP-DE-2011;Planeación, Estrategia y Control;Comunicaciones
ANALISTA II;TP-DE-2012;Planeación, Estrategia y Control;Comunicaciones
ANALISTA I;TP-DE-2013;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR IV;TP-DE-1014;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR III;TP-DE-1015;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR II;TP-DE-1016;Planeación, Estrategia y Control;Comunicaciones
FACILITADOR I;TP-DE-1017;Planeación, Estrategia y Control;Comunicaciones
